# host=192.168.3.101 label=workers wait=4s reps=2
# 
# 
granularity	rep	us	msgs	batches	us_per_msg	path
1	1	0	0	0	NA	workers
1	2	57	16	2	3.562	workers
10	1	143	16	2	8.938	workers
10	2	143	16	2	8.938	workers
50	1	588	16	2	36.750	workers
50	2	587	16	2	36.688	workers
200	1	2272	16	2	142.000	workers
200	2	2269	16	2	141.812	workers
1000	1	11166	16	2	697.875	workers
1000	2	11218	16	2	701.125	workers
5000	1	55805	16	2	3487.812	workers
5000	2	55781	16	2	3486.312	workers
20000	1	223261	16	2	13953.812	workers
20000	2	223287	16	2	13955.438	workers
100000	1	1116324	16	2	69770.250	workers
100000	2	1116127	16	2	69757.938	workers
200000	1	2235167	16	2	139697.938	workers
200000	2	2235095	16	2	139693.438	workers
